#(id,length,speed,channel,form,to,isDuplex)
(501,10,5,3,1,5,1)
(502,10,5,3,1,2,1)
(503,10,5,3,5,9,1)
(504,10,5,3,2,3,1)
(505,10,5,3,9,13,1)
(506,10,5,3,3,4,1)
(507,10,5,3,2,6,1)
(508,10,5,3,5,6,1)
(509,10,5,3,6,10,1)
(510,10,5,3,6,7,1)
(511,10,5,3,10,14,1)
(512,10,5,3,7,8,1)
(513,10,5,3,3,7,1)
(514,10,5,3,9,10,1)
(515,10,5,3,7,11,1)
(516,10,5,3,10,11,1)
(517,10,5,3,11,15,1)
(518,10,5,3,11,12,1)
(519,10,5,3,4,8,1)
(520,10,5,3,13,14,1)
(521,10,5,3,8,12,1)
(522,10,5,3,14,15,1)
(523,10,5,3,12,16,1)
(524,10,5,3,15,16,1)
